	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.00067138671875	1.0	1.0	0.00067138671875	0.00067138671875	0.00067138671875	0.00067138671875	0.0010443793402777778	0.0010443793402777778	0.0010443793402777778	0.0010443793402777778
ad_fixed__70	0.00067138671875	1.0	0.00067138671875	0.00067138671875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ad_random__70	1.0	0.00067138671875	1.0	1.0	0.00067138671875	0.00067138671875	0.00067138671875	0.00067138671875	0.0010443793402777778	0.0010443793402777778	0.0010443793402777778	0.0010443793402777778
ad_size__70	1.0	0.00067138671875	1.0	1.0	0.00067138671875	0.00067138671875	0.00067138671875	0.00067138671875	0.0010443793402777778	0.0010443793402777778	0.0010443793402777778	0.0010443793402777778
md_density__70	0.00067138671875	1.0	0.00067138671875	0.00067138671875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
md_fixed__70	0.00067138671875	1.0	0.00067138671875	0.00067138671875	1.0	1.0	0.8507826789078412	1.0	1.0	1.0	1.0	1.0
md_random__70	0.00067138671875	1.0	0.00067138671875	0.00067138671875	1.0	0.8507826789078412	1.0	0.8507826789078412	1.0	1.0	1.0	1.0
md_size__70	0.00067138671875	1.0	0.00067138671875	0.00067138671875	1.0	1.0	0.8507826789078412	1.0	1.0	1.0	1.0	1.0
mse_density__70	0.0010443793402777778	1.0	0.0010443793402777778	0.0010443793402777778	1.0	1.0	1.0	1.0	1.0	1.0	0.8507826789078412	0.8507826789078412
mse_fixed__70	0.0010443793402777778	1.0	0.0010443793402777778	0.0010443793402777778	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mse_random__70	0.0010443793402777778	1.0	0.0010443793402777778	0.0010443793402777778	1.0	1.0	1.0	1.0	0.8507826789078412	1.0	1.0	1.0
mse_size__70	0.0010443793402777778	1.0	0.0010443793402777778	0.0010443793402777778	1.0	1.0	1.0	1.0	0.8507826789078412	1.0	1.0	1.0
