	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.3769451203893443	0.5273850963961694	0.8335214468149038	6.103515625e-05	0.21568582825741525	6.103515625e-05	6.103515625e-05	0.00015493539663461538	0.018603515625	6.103515625e-05	6.103515625e-05
ad_fixed__70	0.3769451203893443	1.0	0.3769451203893443	0.899932861328125	6.103515625e-05	0.06678531044407894	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.007828622494103774	0.00010887352195945947	0.00010887352195945947
ad_random__70	0.5273850963961694	0.3769451203893443	1.0	0.7667970657348633	6.103515625e-05	0.018603515625	6.103515625e-05	6.103515625e-05	0.000245629287347561	0.0028773716517857145	6.103515625e-05	6.103515625e-05
ad_size__70	0.8335214468149038	0.899932861328125	0.7667970657348633	1.0	6.103515625e-05	0.0028773716517857145	6.103515625e-05	6.103515625e-05	0.003544921875	0.0010946522588315217	0.001842742270611702	0.00434426700367647
md_density__70	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	1.0	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05
md_fixed__70	0.21568582825741525	0.06678531044407894	0.018603515625	0.0028773716517857145	6.103515625e-05	1.0	6.103515625e-05	6.103515625e-05	0.0004684093386627907	0.18099659886853448	0.0006266276041666667	0.0006266276041666667
md_random__70	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	1.0	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05
md_size__70	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	1.0	0.00010887352195945947	6.103515625e-05	0.0004684093386627907	6.103515625e-05
mse_density__70	0.00015493539663461538	6.103515625e-05	0.000245629287347561	0.003544921875	6.103515625e-05	0.0004684093386627907	6.103515625e-05	0.00010887352195945947	1.0	0.00010887352195945947	0.7393246605282737	0.029421125139508928
mse_fixed__70	0.018603515625	0.007828622494103774	0.0028773716517857145	0.0010946522588315217	6.103515625e-05	0.18099659886853448	6.103515625e-05	6.103515625e-05	0.00010887352195945947	1.0	0.000245629287347561	0.00015493539663461538
mse_random__70	6.103515625e-05	0.00010887352195945947	6.103515625e-05	0.001842742270611702	6.103515625e-05	0.0006266276041666667	6.103515625e-05	0.0004684093386627907	0.7393246605282737	0.000245629287347561	1.0	0.007828622494103774
mse_size__70	6.103515625e-05	0.00010887352195945947	6.103515625e-05	0.00434426700367647	6.103515625e-05	0.0006266276041666667	6.103515625e-05	6.103515625e-05	0.029421125139508928	0.00015493539663461538	0.007828622494103774	1.0
