	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	5.754743303571429e-05	0.7101208861531311	0.7101208861531311	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05
ad_fixed__70	5.754743303571429e-05	1.0	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05
ad_random__70	0.7101208861531311	5.754743303571429e-05	1.0	1.0	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05
ad_size__70	0.7101208861531311	5.754743303571429e-05	1.0	1.0	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05
md_density__70	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	1.0	0.9642160033308729	0.7101208861531311	0.4709689829668407	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295
md_fixed__70	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	0.9642160033308729	1.0	0.7326383897825689	0.4709689829668407	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295
md_random__70	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	0.7101208861531311	0.7326383897825689	1.0	0.4709689829668407	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295
md_size__70	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	0.4709689829668407	0.4709689829668407	0.4709689829668407	1.0	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295
mse_density__70	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	1.0	1.0	0.4709689829668407	0.7101208861531311
mse_fixed__70	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	1.0	1.0	0.4709689829668407	0.7101208861531311
mse_random__70	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	0.4709689829668407	0.4709689829668407	1.0	0.7101208861531311
mse_size__70	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	5.754743303571429e-05	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	0.0016982134650735295	0.7101208861531311	0.7101208861531311	0.7101208861531311	1.0
