	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.1393798828125	1.0	1.0	1.0	1.0	1.0	1.0	0.10444859095982142	0.10444859095982142	0.10444859095982142	0.10444859095982142
ad_fixed__70	0.1393798828125	1.0	0.1393798828125	0.1393798828125	0.1393798828125	0.1393798828125	0.1393798828125	0.1393798828125	0.3262939453125	0.3262939453125	0.3262939453125	0.3262939453125
ad_random__70	1.0	0.1393798828125	1.0	1.0	1.0	1.0	1.0	1.0	0.10444859095982142	0.10444859095982142	0.10444859095982142	0.10444859095982142
ad_size__70	1.0	0.1393798828125	1.0	1.0	1.0	1.0	1.0	1.0	0.10444859095982142	0.10444859095982142	0.10444859095982142	0.10444859095982142
md_density__70	1.0	0.1393798828125	1.0	1.0	1.0	1.0	1.0	1.0	0.00176239013671875	0.00176239013671875	0.00176239013671875	0.00176239013671875
md_fixed__70	1.0	0.1393798828125	1.0	1.0	1.0	1.0	1.0	1.0	0.00176239013671875	0.00176239013671875	0.00176239013671875	0.00176239013671875
md_random__70	1.0	0.1393798828125	1.0	1.0	1.0	1.0	1.0	1.0	0.00176239013671875	0.00176239013671875	0.00176239013671875	0.00176239013671875
md_size__70	1.0	0.1393798828125	1.0	1.0	1.0	1.0	1.0	1.0	0.00176239013671875	0.00176239013671875	0.00176239013671875	0.00176239013671875
mse_density__70	0.10444859095982142	0.3262939453125	0.10444859095982142	0.10444859095982142	0.00176239013671875	0.00176239013671875	0.00176239013671875	0.00176239013671875	1.0	1.0	1.0	1.0
mse_fixed__70	0.10444859095982142	0.3262939453125	0.10444859095982142	0.10444859095982142	0.00176239013671875	0.00176239013671875	0.00176239013671875	0.00176239013671875	1.0	1.0	1.0	1.0
mse_random__70	0.10444859095982142	0.3262939453125	0.10444859095982142	0.10444859095982142	0.00176239013671875	0.00176239013671875	0.00176239013671875	0.00176239013671875	1.0	1.0	1.0	1.0
mse_size__70	0.10444859095982142	0.3262939453125	0.10444859095982142	0.10444859095982142	0.00176239013671875	0.00176239013671875	0.00176239013671875	0.00176239013671875	1.0	1.0	1.0	1.0
