	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.8181044634650736	1.0	1.0	0.0008392333984375	0.0008392333984375	0.0008392333984375	0.0008392333984375	0.02526092529296875	0.02526092529296875	0.02526092529296875	0.02526092529296875
ad_fixed__70	0.8181044634650736	1.0	0.8181044634650736	0.8181044634650736	0.06646728515625	0.06646728515625	0.06646728515625	0.06646728515625	0.3773612976074219	0.3773612976074219	0.3773612976074219	0.3773612976074219
ad_random__70	1.0	0.8181044634650736	1.0	1.0	0.0008392333984375	0.0008392333984375	0.0008392333984375	0.0008392333984375	0.02526092529296875	0.02526092529296875	0.02526092529296875	0.02526092529296875
ad_size__70	1.0	0.8181044634650736	1.0	1.0	0.0008392333984375	0.0008392333984375	0.0008392333984375	0.0008392333984375	0.02526092529296875	0.02526092529296875	0.02526092529296875	0.02526092529296875
md_density__70	0.0008392333984375	0.06646728515625	0.0008392333984375	0.0008392333984375	1.0	1.0	1.0	1.0	0.030111694335937498	0.030111694335937498	0.030111694335937498	0.030111694335937498
md_fixed__70	0.0008392333984375	0.06646728515625	0.0008392333984375	0.0008392333984375	1.0	1.0	1.0	1.0	0.030111694335937498	0.030111694335937498	0.030111694335937498	0.030111694335937498
md_random__70	0.0008392333984375	0.06646728515625	0.0008392333984375	0.0008392333984375	1.0	1.0	1.0	1.0	0.030111694335937498	0.030111694335937498	0.030111694335937498	0.030111694335937498
md_size__70	0.0008392333984375	0.06646728515625	0.0008392333984375	0.0008392333984375	1.0	1.0	1.0	1.0	0.030111694335937498	0.030111694335937498	0.030111694335937498	0.030111694335937498
mse_density__70	0.02526092529296875	0.3773612976074219	0.02526092529296875	0.02526092529296875	0.030111694335937498	0.030111694335937498	0.030111694335937498	0.030111694335937498	1.0	1.0	1.0	1.0
mse_fixed__70	0.02526092529296875	0.3773612976074219	0.02526092529296875	0.02526092529296875	0.030111694335937498	0.030111694335937498	0.030111694335937498	0.030111694335937498	1.0	1.0	1.0	1.0
mse_random__70	0.02526092529296875	0.3773612976074219	0.02526092529296875	0.02526092529296875	0.030111694335937498	0.030111694335937498	0.030111694335937498	0.030111694335937498	1.0	1.0	1.0	1.0
mse_size__70	0.02526092529296875	0.3773612976074219	0.02526092529296875	0.02526092529296875	0.030111694335937498	0.030111694335937498	0.030111694335937498	0.030111694335937498	1.0	1.0	1.0	1.0
