	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	1.0	0.0765380859375	0.8171483090049342	0.25604396913109756	0.6169410561615566	0.20811173722550677	0.021274566650390625	0.6742675781249999	0.00787353515625	1.0	0.17621023995535715
ad_fixed__70	1.0	1.0	0.10831705729166666	0.6001407398897058	0.16160673253676472	0.8171483090049342	0.3468017578125	0.051159667968749996	0.9427868071056548	0.04800415039062501	0.831779867915784	0.1478271484375
ad_random__70	0.0765380859375	0.10831705729166666	1.0	0.061388098675271736	0.831779867915784	0.011749267578125	0.4025187174479167	0.25604396913109756	0.22532091642680918	0.001007080078125	0.00787353515625	1.0
ad_size__70	0.8171483090049342	0.6001407398897058	0.061388098675271736	1.0	0.11941092354910714	0.25604396913109756	0.4892266456117021	0.05474853515625	0.6169410561615566	0.013634314903846154	0.53294677734375	0.19173685709635419
md_density__70	0.25604396913109756	0.16160673253676472	0.831779867915784	0.11941092354910714	1.0	0.05474853515625	0.8460463226818647	0.4892266456117021	0.3029872349330357	0.00787353515625	0.1312676791487069	0.53294677734375
md_fixed__70	0.6169410561615566	0.8171483090049342	0.011749267578125	0.25604396913109756	0.05474853515625	1.0	0.04265280330882353	0.0147705078125	0.1478271484375	0.0765380859375	0.1478271484375	0.0025177001953125
md_random__70	0.20811173722550677	0.3468017578125	0.4025187174479167	0.4892266456117021	0.8460463226818647	0.04265280330882353	1.0	0.8460463226818647	0.3245139898255814	0.00469970703125	0.051159667968749996	0.53294677734375
md_size__70	0.021274566650390625	0.051159667968749996	0.25604396913109756	0.05474853515625	0.4892266456117021	0.0147705078125	0.8460463226818647	1.0	0.143878173828125	0.001007080078125	0.0147705078125	0.6742675781249999
mse_density__70	0.6742675781249999	0.9427868071056548	0.22532091642680918	0.6169410561615566	0.3029872349330357	0.1478271484375	0.3245139898255814	0.143878173828125	1.0	0.00787353515625	0.9427868071056548	0.10831705729166666
mse_fixed__70	0.00787353515625	0.04800415039062501	0.001007080078125	0.013634314903846154	0.00787353515625	0.0765380859375	0.00469970703125	0.001007080078125	0.00787353515625	1.0	0.0028198242187499997	0.00201416015625
mse_random__70	1.0	0.831779867915784	0.00787353515625	0.53294677734375	0.1312676791487069	0.1478271484375	0.051159667968749996	0.0147705078125	0.9427868071056548	0.0028198242187499997	1.0	0.00787353515625
mse_size__70	0.17621023995535715	0.1478271484375	1.0	0.19173685709635419	0.53294677734375	0.0025177001953125	0.53294677734375	0.6742675781249999	0.10831705729166666	0.00201416015625	0.00787353515625	1.0
