	ad_density__90	ad_fixed__90	ad_random__90	ad_size__90	md_density__90	md_fixed__90	md_random__90	md_size__90	mse_density__90	mse_fixed__90	mse_random__90	mse_size__90
ad_density__90	1.0	0.05211103723404255	0.5099547859039322	0.22281761660999566	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625
ad_fixed__90	0.05211103723404255	1.0	0.039232336956521736	0.028645833333333336	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.8061755952380952	0.8061755952380952	0.8061755952380952	0.8061755952380952
ad_random__90	0.5099547859039322	0.039232336956521736	1.0	0.22281761660999566	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625
ad_size__90	0.22281761660999566	0.028645833333333336	0.22281761660999566	1.0	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625
md_density__90	0.00322265625	0.0087890625	0.00322265625	0.00322265625	1.0	0.7517286692649987	0.3973151984095984	0.3973151984095984	0.00322265625	0.00322265625	0.00322265625	0.00322265625
md_fixed__90	0.00322265625	0.0087890625	0.00322265625	0.00322265625	0.7517286692649987	1.0	0.9030090084323906	0.9731425596292059	0.00322265625	0.00322265625	0.00322265625	0.00322265625
md_random__90	0.00322265625	0.0087890625	0.00322265625	0.00322265625	0.3973151984095984	0.9030090084323906	1.0	0.3973151984095984	0.00322265625	0.00322265625	0.00322265625	0.00322265625
md_size__90	0.00322265625	0.0087890625	0.00322265625	0.00322265625	0.3973151984095984	0.9731425596292059	0.3973151984095984	1.0	0.00322265625	0.00322265625	0.00322265625	0.00322265625
mse_density__90	0.00322265625	0.8061755952380952	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	1.0	1.0	0.3973151984095984	0.3973151984095984
mse_fixed__90	0.00322265625	0.8061755952380952	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	1.0	1.0	0.22281761660999566	0.7517286692649987
mse_random__90	0.00322265625	0.8061755952380952	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.3973151984095984	0.22281761660999566	1.0	0.715135749246414
mse_size__90	0.00322265625	0.8061755952380952	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.00322265625	0.3973151984095984	0.7517286692649987	0.715135749246414	1.0
