	ad_density__90	ad_fixed__90	ad_random__90	ad_size__90	md_density__90	md_fixed__90	md_random__90	md_size__90	mse_density__90	mse_fixed__90	mse_random__90	mse_size__90
ad_density__90	1.0	0.09807410606971154	0.04663555438701923	0.0830544864430147	0.15262858072916669	0.1114501953125	0.09223175048828125	0.263031005859375	0.6788761533539871	0.28278808593750004	0.979949951171875	0.362266845703125
ad_fixed__90	0.09807410606971154	1.0	0.10084691540948276	0.24994768415178573	0.15813739483173075	0.263031005859375	0.06821289062500001	0.8460463226818647	0.37804236778846156	0.034039306640624996	0.2968957779255319	0.10084691540948276
ad_random__90	0.04663555438701923	0.10084691540948276	1.0	0.8460463226818647	0.09223175048828125	0.831779867915784	0.051792689732142856	0.5838906424386161	0.11196360868566177	0.025320870535714284	0.09223175048828125	0.04663555438701923
ad_size__90	0.0830544864430147	0.24994768415178573	0.8460463226818647	1.0	0.15813739483173075	0.9543400691105769	0.07527923583984375	0.8738531297253024	0.034039306640624996	0.025320870535714284	0.09223175048828125	0.15813739483173075
md_density__90	0.15262858072916669	0.15813739483173075	0.09223175048828125	0.15813739483173075	1.0	0.09223175048828125	0.4338424970518868	0.025320870535714284	0.1683543135480183	0.2968957779255319	0.11196360868566177	0.317901611328125
md_fixed__90	0.1114501953125	0.263031005859375	0.831779867915784	0.9543400691105769	0.09223175048828125	1.0	0.034039306640624996	0.9012247721354166	0.1683543135480183	0.025320870535714284	0.09223175048828125	0.0201416015625
md_random__90	0.09223175048828125	0.06821289062500001	0.051792689732142856	0.07527923583984375	0.4338424970518868	0.034039306640624996	1.0	0.025320870535714284	0.11196360868566177	0.11196360868566177	0.09807410606971154	0.10084691540948276
md_size__90	0.263031005859375	0.8460463226818647	0.5838906424386161	0.8738531297253024	0.025320870535714284	0.9012247721354166	0.025320870535714284	1.0	0.6506090666118421	0.0377197265625	0.09223175048828125	0.025320870535714284
mse_density__90	0.6788761533539871	0.37804236778846156	0.11196360868566177	0.034039306640624996	0.1683543135480183	0.1683543135480183	0.11196360868566177	0.6506090666118421	1.0	0.15262858072916669	0.51983642578125	0.3397353814572704
mse_fixed__90	0.28278808593750004	0.034039306640624996	0.025320870535714284	0.025320870535714284	0.2968957779255319	0.025320870535714284	0.11196360868566177	0.0377197265625	0.15262858072916669	1.0	0.45889282226562494	0.9543400691105769
mse_random__90	0.979949951171875	0.2968957779255319	0.09223175048828125	0.09223175048828125	0.11196360868566177	0.09223175048828125	0.09807410606971154	0.09223175048828125	0.51983642578125	0.45889282226562494	1.0	0.37804236778846156
mse_size__90	0.362266845703125	0.10084691540948276	0.04663555438701923	0.15813739483173075	0.317901611328125	0.0201416015625	0.10084691540948276	0.025320870535714284	0.3397353814572704	0.9543400691105769	0.37804236778846156	1.0
