	ad_density__90	ad_fixed__90	ad_random__90	ad_size__90	md_density__90	md_fixed__90	md_random__90	md_size__90	mse_density__90	mse_fixed__90	mse_random__90	mse_size__90
ad_density__90	1.0	0.0014386858258928572	1.0	1.0	0.1353436638327206	0.1353436638327206	0.1353436638327206	0.1353436638327206	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625
ad_fixed__90	0.0014386858258928572	1.0	0.0014386858258928572	0.0014386858258928572	0.0017042893629807692	0.0017042893629807692	0.0017042893629807692	0.0017042893629807692	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625
ad_random__90	1.0	0.0014386858258928572	1.0	1.0	0.1353436638327206	0.1353436638327206	0.1353436638327206	0.1353436638327206	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625
ad_size__90	1.0	0.0014386858258928572	1.0	1.0	0.1353436638327206	0.1353436638327206	0.1353436638327206	0.1353436638327206	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625
md_density__90	0.1353436638327206	0.0017042893629807692	0.1353436638327206	0.1353436638327206	1.0	1.0	1.0	1.0	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625
md_fixed__90	0.1353436638327206	0.0017042893629807692	0.1353436638327206	0.1353436638327206	1.0	1.0	1.0	1.0	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625
md_random__90	0.1353436638327206	0.0017042893629807692	0.1353436638327206	0.1353436638327206	1.0	1.0	1.0	1.0	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625
md_size__90	0.1353436638327206	0.0017042893629807692	0.1353436638327206	0.1353436638327206	1.0	1.0	1.0	1.0	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625
mse_density__90	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	1.0	1.0	1.0	1.0
mse_fixed__90	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	1.0	1.0	1.0	1.0
mse_random__90	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	1.0	1.0	1.0	1.0
mse_size__90	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	1.0	1.0	1.0	1.0
