	ad_density__90	ad_fixed__90	ad_random__90	ad_size__90	md_density__90	md_fixed__90	md_random__90	md_size__90	mse_density__90	mse_fixed__90	mse_random__90	mse_size__90
ad_density__90	1.0	1.0	0.7071750446901484	0.3941786024305555	0.034106445312500004	0.037639617919921875	0.002349853515625	0.010550362723214286	0.9012247721354166	0.1683543135480183	0.3941786024305555	0.1087646484375
ad_fixed__90	1.0	1.0	0.9012247721354166	0.5637564823545259	0.0088623046875	0.29071044921875	0.00125885009765625	0.0005035400390625	0.8045083968365779	0.01418304443359375	0.27664051885190216	0.0088623046875
ad_random__90	0.7071750446901484	0.9012247721354166	1.0	0.4674971731085526	0.01418304443359375	0.305185546875	0.00067138671875	0.004154205322265625	1.0	0.20386178152901785	0.263031005859375	0.030859810965401784
ad_size__90	0.3941786024305555	0.5637564823545259	0.4674971731085526	1.0	0.012542724609375	0.1683543135480183	0.0005035400390625	0.0005035400390625	0.4674971731085526	0.030859810965401784	0.29071044921875	0.0015665690104166667
md_density__90	0.034106445312500004	0.0088623046875	0.01418304443359375	0.012542724609375	1.0	0.030859810965401784	0.27664051885190216	0.3264124253216912	0.034106445312500004	0.030859810965401784	0.004154205322265625	0.0499267578125
md_fixed__90	0.037639617919921875	0.29071044921875	0.305185546875	0.1683543135480183	0.030859810965401784	1.0	0.006154378255208334	0.005094640395220588	0.15813739483173075	0.7354034423828125	1.0	0.22080816224563954
md_random__90	0.002349853515625	0.00125885009765625	0.00067138671875	0.0005035400390625	0.27664051885190216	0.006154378255208334	1.0	0.037639617919921875	0.002349853515625	0.0029437725360576925	0.0008632114955357143	0.00067138671875
md_size__90	0.010550362723214286	0.0005035400390625	0.004154205322265625	0.0005035400390625	0.3264124253216912	0.005094640395220588	0.037639617919921875	1.0	0.0035967145647321425	0.00201416015625	0.0005035400390625	0.11989847819010417
mse_density__90	0.9012247721354166	0.8045083968365779	1.0	0.4674971731085526	0.034106445312500004	0.15813739483173075	0.002349853515625	0.0035967145647321425	1.0	0.305185546875	0.4674971731085526	0.05627800436580883
mse_fixed__90	0.1683543135480183	0.01418304443359375	0.20386178152901785	0.030859810965401784	0.030859810965401784	0.7354034423828125	0.0029437725360576925	0.00201416015625	0.305185546875	1.0	0.37804236778846156	0.15813739483173075
mse_random__90	0.3941786024305555	0.27664051885190216	0.263031005859375	0.29071044921875	0.004154205322265625	1.0	0.0008632114955357143	0.0005035400390625	0.4674971731085526	0.37804236778846156	1.0	0.15813739483173075
mse_size__90	0.1087646484375	0.0088623046875	0.030859810965401784	0.0015665690104166667	0.0499267578125	0.22080816224563954	0.00067138671875	0.11989847819010417	0.05627800436580883	0.15813739483173075	0.15813739483173075	1.0
