	ad_density__90	ad_fixed__90	ad_random__90	ad_size__90	md_density__90	md_fixed__90	md_random__90	md_size__90	mse_density__90	mse_fixed__90	mse_random__90	mse_size__90
ad_density__90	1.0	0.00028773716517857144	1.0	1.0	0.26814601732336957	0.26814601732336957	0.26814601732336957	0.26814601732336957	0.27127859933035714	0.27127859933035714	0.27127859933035714	0.27127859933035714
ad_fixed__90	0.00028773716517857144	1.0	0.00028773716517857144	0.00028773716517857144	0.0003662109375	0.0003662109375	0.0003662109375	0.0003662109375	0.00028773716517857144	0.00028773716517857144	0.00028773716517857144	0.00028773716517857144
ad_random__90	1.0	0.00028773716517857144	1.0	1.0	0.26814601732336957	0.26814601732336957	0.26814601732336957	0.26814601732336957	0.27127859933035714	0.27127859933035714	0.27127859933035714	0.27127859933035714
ad_size__90	1.0	0.00028773716517857144	1.0	1.0	0.26814601732336957	0.26814601732336957	0.26814601732336957	0.26814601732336957	0.27127859933035714	0.27127859933035714	0.27127859933035714	0.27127859933035714
md_density__90	0.26814601732336957	0.0003662109375	0.26814601732336957	0.26814601732336957	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
md_fixed__90	0.26814601732336957	0.0003662109375	0.26814601732336957	0.26814601732336957	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
md_random__90	0.26814601732336957	0.0003662109375	0.26814601732336957	0.26814601732336957	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
md_size__90	0.26814601732336957	0.0003662109375	0.26814601732336957	0.26814601732336957	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mse_density__90	0.27127859933035714	0.00028773716517857144	0.27127859933035714	0.27127859933035714	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mse_fixed__90	0.27127859933035714	0.00028773716517857144	0.27127859933035714	0.27127859933035714	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mse_random__90	0.27127859933035714	0.00028773716517857144	0.27127859933035714	0.27127859933035714	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mse_size__90	0.27127859933035714	0.00028773716517857144	0.27127859933035714	0.27127859933035714	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
