	ad_density__90	ad_fixed__90	ad_random__90	ad_size__90	md_density__90	md_fixed__90	md_random__90	md_size__90	mse_density__90	mse_fixed__90	mse_random__90	mse_size__90
ad_density__90	1.0	0.5273850963961694	0.07847900390625	0.000125885009765625	0.0022207406850961535	0.000125885009765625	0.000125885009765625	0.0022207406850961535	0.000125885009765625	0.000125885009765625	0.001007080078125	0.0012756347656250001
ad_fixed__90	0.5273850963961694	1.0	0.16370260304418102	0.000125885009765625	0.0022207406850961535	0.000125885009765625	0.0007459852430555555	0.0022207406850961535	0.00028773716517857144	0.000125885009765625	0.0015735626220703125	0.0022207406850961535
ad_random__90	0.07847900390625	0.16370260304418102	1.0	0.000125885009765625	0.001954920151654412	0.000125885009765625	0.00021201685855263156	0.001954920151654412	0.000125885009765625	0.000125885009765625	0.00056396484375	0.00041961669921875
ad_size__90	0.000125885009765625	0.000125885009765625	0.000125885009765625	1.0	0.000125885009765625	0.0015735626220703125	0.979949951171875	0.7393246605282737	0.00041961669921875	0.00021201685855263156	0.00021201685855263156	0.07049560546875
md_density__90	0.0022207406850961535	0.0022207406850961535	0.001954920151654412	0.000125885009765625	1.0	0.011189778645833334	0.000125885009765625	0.00041961669921875	0.018384568234707445	0.029415130615234375	0.049998563878676475	0.000125885009765625
md_fixed__90	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.0015735626220703125	0.011189778645833334	1.0	0.0077362060546875	0.018384568234707445	0.06308501621462265	0.7667970657348633	0.005152502725290698	0.5017570120389344
md_random__90	0.000125885009765625	0.0007459852430555555	0.00021201685855263156	0.979949951171875	0.000125885009765625	0.0077362060546875	1.0	0.2365101959745763	0.003438810022865854	0.033624143016581634	0.00028773716517857144	0.000125885009765625
md_size__90	0.0022207406850961535	0.0022207406850961535	0.001954920151654412	0.7393246605282737	0.00041961669921875	0.018384568234707445	0.2365101959745763	1.0	0.004220145089285714	0.049998563878676475	0.0012756347656250001	0.003438810022865854
mse_density__90	0.000125885009765625	0.00028773716517857144	0.000125885009765625	0.00041961669921875	0.018384568234707445	0.06308501621462265	0.003438810022865854	0.004220145089285714	1.0	0.2774505615234375	0.056241548978365384	0.12109696237664473
mse_fixed__90	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.00021201685855263156	0.029415130615234375	0.7667970657348633	0.033624143016581634	0.049998563878676475	0.2774505615234375	1.0	0.11013139997209821	0.9137779822716346
mse_random__90	0.001007080078125	0.0015735626220703125	0.00056396484375	0.00021201685855263156	0.049998563878676475	0.005152502725290698	0.00028773716517857144	0.0012756347656250001	0.056241548978365384	0.11013139997209821	1.0	0.0007459852430555555
mse_size__90	0.0012756347656250001	0.0022207406850961535	0.00041961669921875	0.07049560546875	0.000125885009765625	0.5017570120389344	0.000125885009765625	0.003438810022865854	0.12109696237664473	0.9137779822716346	0.0007459852430555555	1.0
