	ad_density__90	ad_fixed__90	ad_random__90	ad_size__90	md_density__90	md_fixed__90	md_random__90	md_size__90	mse_density__90	mse_fixed__90	mse_random__90	mse_size__90
ad_density__90	1.0	0.00028773716517857144	0.516809819886178	0.9795210192567597	0.00028773716517857144	0.00028773716517857144	0.00028773716517857144	0.00028773716517857144	0.040711747839095744	0.040711747839095744	0.040711747839095744	0.040711747839095744
ad_fixed__90	0.00028773716517857144	1.0	0.00028773716517857144	0.00028773716517857144	0.7354034423828125	0.7354034423828125	0.7354034423828125	0.7354034423828125	0.000201416015625	0.000201416015625	0.000201416015625	0.000201416015625
ad_random__90	0.516809819886178	0.00028773716517857144	1.0	0.9795210192567597	0.00028773716517857144	0.00028773716517857144	0.00028773716517857144	0.00028773716517857144	0.040711747839095744	0.040711747839095744	0.040711747839095744	0.040711747839095744
ad_size__90	0.9795210192567597	0.00028773716517857144	0.9795210192567597	1.0	0.00028773716517857144	0.00028773716517857144	0.00028773716517857144	0.00028773716517857144	0.040711747839095744	0.040711747839095744	0.040711747839095744	0.040711747839095744
md_density__90	0.00028773716517857144	0.7354034423828125	0.00028773716517857144	0.00028773716517857144	1.0	0.5392986813897139	0.5870617370375802	0.9874996714069826	0.000201416015625	0.000201416015625	0.000201416015625	0.000201416015625
md_fixed__90	0.00028773716517857144	0.7354034423828125	0.00028773716517857144	0.00028773716517857144	0.5392986813897139	1.0	0.7354034423828125	0.30281300369530284	0.000201416015625	0.000201416015625	0.000201416015625	0.000201416015625
md_random__90	0.00028773716517857144	0.7354034423828125	0.00028773716517857144	0.00028773716517857144	0.5870617370375802	0.7354034423828125	1.0	0.389184619586287	0.000201416015625	0.000201416015625	0.000201416015625	0.000201416015625
md_size__90	0.00028773716517857144	0.7354034423828125	0.00028773716517857144	0.00028773716517857144	0.9874996714069826	0.30281300369530284	0.389184619586287	1.0	0.000201416015625	0.000201416015625	0.000201416015625	0.000201416015625
mse_density__90	0.040711747839095744	0.000201416015625	0.040711747839095744	0.040711747839095744	0.000201416015625	0.000201416015625	0.000201416015625	0.000201416015625	1.0	0.5658025592307336	0.30281300369530284	0.9933620328132889
mse_fixed__90	0.040711747839095744	0.000201416015625	0.040711747839095744	0.040711747839095744	0.000201416015625	0.000201416015625	0.000201416015625	0.000201416015625	0.5658025592307336	1.0	0.5658025592307336	1.0
mse_random__90	0.040711747839095744	0.000201416015625	0.040711747839095744	0.040711747839095744	0.000201416015625	0.000201416015625	0.000201416015625	0.000201416015625	0.30281300369530284	0.5658025592307336	1.0	0.7566593205951122
mse_size__90	0.040711747839095744	0.000201416015625	0.040711747839095744	0.040711747839095744	0.000201416015625	0.000201416015625	0.000201416015625	0.000201416015625	0.9933620328132889	1.0	0.7566593205951122	1.0
