	ad_density__90	ad_fixed__90	ad_random__90	ad_size__90	md_density__90	md_fixed__90	md_random__90	md_size__90	mse_density__90	mse_fixed__90	mse_random__90	mse_size__90
ad_density__90	1.0	0.00018310546875	1.0	1.0	0.6832650991586539	0.6832650991586539	0.6832650991586539	0.6832650991586539	0.8181044634650736	0.8181044634650736	0.8181044634650736	0.8181044634650736
ad_fixed__90	0.00018310546875	1.0	0.00018310546875	0.00018310546875	0.00018310546875	0.00018310546875	0.00018310546875	0.00018310546875	0.00018310546875	0.00018310546875	0.00018310546875	0.00018310546875
ad_random__90	1.0	0.00018310546875	1.0	1.0	0.6832650991586539	0.6832650991586539	0.6832650991586539	0.6832650991586539	0.8181044634650736	0.8181044634650736	0.8181044634650736	0.8181044634650736
ad_size__90	1.0	0.00018310546875	1.0	1.0	0.6832650991586539	0.6832650991586539	0.6832650991586539	0.6832650991586539	0.8181044634650736	0.8181044634650736	0.8181044634650736	0.8181044634650736
md_density__90	0.6832650991586539	0.00018310546875	0.6832650991586539	0.6832650991586539	1.0	1.0	1.0	1.0	0.20350477430555555	0.20350477430555555	0.20350477430555555	0.20350477430555555
md_fixed__90	0.6832650991586539	0.00018310546875	0.6832650991586539	0.6832650991586539	1.0	1.0	1.0	1.0	0.20350477430555555	0.20350477430555555	0.20350477430555555	0.20350477430555555
md_random__90	0.6832650991586539	0.00018310546875	0.6832650991586539	0.6832650991586539	1.0	1.0	1.0	1.0	0.20350477430555555	0.20350477430555555	0.20350477430555555	0.20350477430555555
md_size__90	0.6832650991586539	0.00018310546875	0.6832650991586539	0.6832650991586539	1.0	1.0	1.0	1.0	0.20350477430555555	0.20350477430555555	0.20350477430555555	0.20350477430555555
mse_density__90	0.8181044634650736	0.00018310546875	0.8181044634650736	0.8181044634650736	0.20350477430555555	0.20350477430555555	0.20350477430555555	0.20350477430555555	1.0	1.0	1.0	1.0
mse_fixed__90	0.8181044634650736	0.00018310546875	0.8181044634650736	0.8181044634650736	0.20350477430555555	0.20350477430555555	0.20350477430555555	0.20350477430555555	1.0	1.0	1.0	1.0
mse_random__90	0.8181044634650736	0.00018310546875	0.8181044634650736	0.8181044634650736	0.20350477430555555	0.20350477430555555	0.20350477430555555	0.20350477430555555	1.0	1.0	1.0	1.0
mse_size__90	0.8181044634650736	0.00018310546875	0.8181044634650736	0.8181044634650736	0.20350477430555555	0.20350477430555555	0.20350477430555555	0.20350477430555555	1.0	1.0	1.0	1.0
