	ad_density__90	ad_fixed__90	ad_random__90	ad_size__90	md_density__90	md_fixed__90	md_random__90	md_size__90	mse_density__90	mse_fixed__90	mse_random__90	mse_size__90
ad_density__90	1.0	0.6634696439106302	1.0	1.0	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.8289357366043221	0.8289357366043221	0.8289357366043221	0.8289357366043221
ad_fixed__90	0.6634696439106302	1.0	0.6634696439106302	0.6634696439106302	0.5693852455867282	0.5693852455867282	0.5693852455867282	0.5693852455867282	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006
ad_random__90	1.0	0.6634696439106302	1.0	1.0	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.8289357366043221	0.8289357366043221	0.8289357366043221	0.8289357366043221
ad_size__90	1.0	0.6634696439106302	1.0	1.0	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.8289357366043221	0.8289357366043221	0.8289357366043221	0.8289357366043221
md_density__90	0.7385727193507006	0.5693852455867282	0.7385727193507006	0.7385727193507006	1.0	1.0	1.0	1.0	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006
md_fixed__90	0.7385727193507006	0.5693852455867282	0.7385727193507006	0.7385727193507006	1.0	1.0	1.0	1.0	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006
md_random__90	0.7385727193507006	0.5693852455867282	0.7385727193507006	0.7385727193507006	1.0	1.0	1.0	1.0	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006
md_size__90	0.7385727193507006	0.5693852455867282	0.7385727193507006	0.7385727193507006	1.0	1.0	1.0	1.0	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006
mse_density__90	0.8289357366043221	0.7385727193507006	0.8289357366043221	0.8289357366043221	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006	1.0	1.0	1.0	1.0
mse_fixed__90	0.8289357366043221	0.7385727193507006	0.8289357366043221	0.8289357366043221	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006	1.0	1.0	1.0	1.0
mse_random__90	0.8289357366043221	0.7385727193507006	0.8289357366043221	0.8289357366043221	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006	1.0	1.0	1.0	1.0
mse_size__90	0.8289357366043221	0.7385727193507006	0.8289357366043221	0.8289357366043221	0.7385727193507006	0.7385727193507006	0.7385727193507006	0.7385727193507006	1.0	1.0	1.0	1.0
