	ad_density__90	ad_fixed__90	ad_random__90	ad_size__90	md_density__90	md_fixed__90	md_random__90	md_size__90	mse_density__90	mse_fixed__90	mse_random__90	mse_size__90
ad_density__90	1.0	0.4674971731085526	9.1552734375e-05	0.7393246605282737	0.6079461769979508	0.00037102950246710524	0.93988037109375	0.0008899777434593024	9.1552734375e-05	9.1552734375e-05	9.1552734375e-05	0.49294833479256467
ad_fixed__90	0.4674971731085526	1.0	9.1552734375e-05	0.12092859604779412	0.41806640624999997	0.0002962000229779412	0.7116807506930443	0.0002962000229779412	9.1552734375e-05	9.1552734375e-05	9.1552734375e-05	0.8871431350708008
ad_random__90	9.1552734375e-05	9.1552734375e-05	1.0	9.1552734375e-05	9.1552734375e-05	9.1552734375e-05	9.1552734375e-05	9.1552734375e-05	0.00037102950246710524	0.00013890759698275863	0.00013890759698275863	9.1552734375e-05
ad_size__90	0.7393246605282737	0.12092859604779412	9.1552734375e-05	1.0	0.9137779822716346	0.00037102950246710524	0.4674971731085526	0.0019683837890625	9.1552734375e-05	0.00013890759698275863	0.00067138671875	0.13274090106670675
md_density__90	0.6079461769979508	0.41806640624999997	9.1552734375e-05	0.9137779822716346	1.0	0.000491258574695122	0.5187657243114406	0.0024617513020833335	9.1552734375e-05	9.1552734375e-05	0.00013890759698275863	0.2825792100694444
md_fixed__90	0.00037102950246710524	0.0002962000229779412	9.1552734375e-05	0.00037102950246710524	0.000491258574695122	1.0	9.1552734375e-05	0.5809844970703125	9.1552734375e-05	0.0072424056682180845	0.04517473493303571	0.000491258574695122
md_random__90	0.93988037109375	0.7116807506930443	9.1552734375e-05	0.4674971731085526	0.5187657243114406	9.1552734375e-05	1.0	0.000491258574695122	9.1552734375e-05	9.1552734375e-05	0.00013890759698275863	0.1615508457399764
md_size__90	0.0008899777434593024	0.0002962000229779412	9.1552734375e-05	0.0019683837890625	0.0024617513020833335	0.5809844970703125	0.000491258574695122	1.0	0.00013890759698275863	0.0002962000229779412	0.004816469938858695	0.00013890759698275863
mse_density__90	9.1552734375e-05	9.1552734375e-05	0.00037102950246710524	9.1552734375e-05	9.1552734375e-05	9.1552734375e-05	9.1552734375e-05	0.00013890759698275863	1.0	0.015106201171875	0.0002962000229779412	9.1552734375e-05
mse_fixed__90	9.1552734375e-05	9.1552734375e-05	0.00013890759698275863	0.00013890759698275863	9.1552734375e-05	0.0072424056682180845	9.1552734375e-05	0.0002962000229779412	0.015106201171875	1.0	0.12092859604779412	0.00020141601562500002
mse_random__90	9.1552734375e-05	9.1552734375e-05	0.00013890759698275863	0.00067138671875	0.00013890759698275863	0.04517473493303571	0.00013890759698275863	0.004816469938858695	0.0002962000229779412	0.12092859604779412	1.0	0.00037102950246710524
mse_size__90	0.49294833479256467	0.8871431350708008	9.1552734375e-05	0.13274090106670675	0.2825792100694444	0.000491258574695122	0.1615508457399764	0.00013890759698275863	9.1552734375e-05	0.00020141601562500002	0.00037102950246710524	1.0
