	ad_density__90	ad_fixed__90	ad_random__90	ad_size__90	md_density__90	md_fixed__90	md_random__90	md_size__90	mse_density__90	mse_fixed__90	mse_random__90	mse_size__90
ad_density__90	1.0	0.6832650991586539	1.0	1.0	0.7271513097426471	0.7271513097426471	0.7271513097426471	0.7271513097426471	0.06833757672991071	0.06833757672991071	0.06833757672991071	0.06833757672991071
ad_fixed__90	0.6832650991586539	1.0	0.6832650991586539	0.6832650991586539	0.19173685709635419	0.19173685709635419	0.19173685709635419	0.19173685709635419	0.06917381286621094	0.06917381286621094	0.06917381286621094	0.06917381286621094
ad_random__90	1.0	0.6832650991586539	1.0	1.0	0.7271513097426471	0.7271513097426471	0.7271513097426471	0.7271513097426471	0.06833757672991071	0.06833757672991071	0.06833757672991071	0.06833757672991071
ad_size__90	1.0	0.6832650991586539	1.0	1.0	0.7271513097426471	0.7271513097426471	0.7271513097426471	0.7271513097426471	0.06833757672991071	0.06833757672991071	0.06833757672991071	0.06833757672991071
md_density__90	0.7271513097426471	0.19173685709635419	0.7271513097426471	0.7271513097426471	1.0	1.0	1.0	1.0	0.00881195068359375	0.00881195068359375	0.00881195068359375	0.00881195068359375
md_fixed__90	0.7271513097426471	0.19173685709635419	0.7271513097426471	0.7271513097426471	1.0	1.0	1.0	1.0	0.00881195068359375	0.00881195068359375	0.00881195068359375	0.00881195068359375
md_random__90	0.7271513097426471	0.19173685709635419	0.7271513097426471	0.7271513097426471	1.0	1.0	1.0	1.0	0.00881195068359375	0.00881195068359375	0.00881195068359375	0.00881195068359375
md_size__90	0.7271513097426471	0.19173685709635419	0.7271513097426471	0.7271513097426471	1.0	1.0	1.0	1.0	0.00881195068359375	0.00881195068359375	0.00881195068359375	0.00881195068359375
mse_density__90	0.06833757672991071	0.06917381286621094	0.06833757672991071	0.06833757672991071	0.00881195068359375	0.00881195068359375	0.00881195068359375	0.00881195068359375	1.0	1.0	1.0	1.0
mse_fixed__90	0.06833757672991071	0.06917381286621094	0.06833757672991071	0.06833757672991071	0.00881195068359375	0.00881195068359375	0.00881195068359375	0.00881195068359375	1.0	1.0	1.0	1.0
mse_random__90	0.06833757672991071	0.06917381286621094	0.06833757672991071	0.06833757672991071	0.00881195068359375	0.00881195068359375	0.00881195068359375	0.00881195068359375	1.0	1.0	1.0	1.0
mse_size__90	0.06833757672991071	0.06917381286621094	0.06833757672991071	0.06833757672991071	0.00881195068359375	0.00881195068359375	0.00881195068359375	0.00881195068359375	1.0	1.0	1.0	1.0
