	ad_density	ad_fixed	ad_random	ad_size	md_density	md_fixed	md_random	md_size	mse_density	mse_fixed	mse_random	mse_size
ad_density	1.0	0.00029998129986702124	0.27290219166239754	0.01571044921875	5.164513221153846e-05	0.624997093563988	5.164513221153846e-05	5.164513221153846e-05	0.00029998129986702124	0.11699198060116525	0.013427734375	0.013427734375
ad_fixed	0.00029998129986702124	1.0	5.164513221153846e-05	0.00014052280159883721	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.002172133501838235	5.164513221153846e-05	0.6788339468149038	0.6519269943237305
ad_random	0.27290219166239754	5.164513221153846e-05	1.0	0.025212969098772322	5.164513221153846e-05	0.1283355712890625	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.05764665274784483	0.0005754743303571429	5.164513221153846e-05
ad_size	0.01571044921875	0.00014052280159883721	0.025212969098772322	1.0	5.164513221153846e-05	0.011658888596754808	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	1.0	0.00029998129986702124	0.00041961669921875
md_density	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	1.0	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
md_fixed	0.624997093563988	5.164513221153846e-05	0.1283355712890625	0.011658888596754808	5.164513221153846e-05	1.0	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.04473555715460526	0.001007080078125	9.591238839285714e-05
md_random	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	1.0	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
md_size	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	1.0	0.00029998129986702124	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
mse_density	0.00029998129986702124	0.002172133501838235	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.00029998129986702124	1.0	5.164513221153846e-05	9.591238839285714e-05	9.591238839285714e-05
mse_fixed	0.11699198060116525	5.164513221153846e-05	0.05764665274784483	1.0	5.164513221153846e-05	0.04473555715460526	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	1.0	5.164513221153846e-05	5.164513221153846e-05
mse_random	0.013427734375	0.6788339468149038	0.0005754743303571429	0.00029998129986702124	5.164513221153846e-05	0.001007080078125	5.164513221153846e-05	5.164513221153846e-05	9.591238839285714e-05	5.164513221153846e-05	1.0	0.4936641570060484
mse_size	0.013427734375	0.6519269943237305	5.164513221153846e-05	0.00041961669921875	5.164513221153846e-05	9.591238839285714e-05	5.164513221153846e-05	5.164513221153846e-05	9.591238839285714e-05	5.164513221153846e-05	0.4936641570060484	1.0
