	ad_density	ad_fixed	ad_random	ad_size	md_density	md_fixed	md_random	md_size	mse_density	mse_fixed	mse_random	mse_size
ad_density	1.0	0.15262858072916669	0.0974853515625	0.9157606555569556	0.1865547798775338	0.6506090666118421	0.09106881277901785	0.622483389718192	0.019709995814732144	0.452886053856383	0.019709995814732144	0.15262858072916669
ad_fixed	0.15262858072916669	1.0	0.011077880859375	0.42735224184782605	0.459873046875	0.15262858072916669	0.15262858072916669	0.9280557632446289	0.005467006138392857	0.979949951171875	0.02886962890625	0.6169410561615566
ad_random	0.0974853515625	0.011077880859375	1.0	0.02886962890625	0.0147705078125	0.2959410201671512	0.0128173828125	0.09106881277901785	0.0005035400390625	0.021837736430921052	0.005467006138392857	0.00830841064453125
ad_size	0.9157606555569556	0.42735224184782605	0.02886962890625	1.0	0.032958984375	0.459873046875	0.021837736430921052	0.459873046875	0.0005035400390625	0.6788761533539871	0.021837736430921052	0.19743934044471154
md_density	0.1865547798775338	0.459873046875	0.0147705078125	0.032958984375	1.0	0.021274566650390625	0.9280557632446289	0.2755562918526786	0.0633685772235577	0.9157606555569556	0.4025187174479167	0.979949951171875
md_fixed	0.6506090666118421	0.15262858072916669	0.2959410201671512	0.459873046875	0.021274566650390625	1.0	0.0005035400390625	0.1392369424143145	0.0005035400390625	0.19743934044471154	0.0008056640625	0.009623209635416668
md_random	0.09106881277901785	0.15262858072916669	0.0128173828125	0.021837736430921052	0.9280557632446289	0.0005035400390625	1.0	0.25604396913109756	0.05647705078125	0.317138671875	0.7894483663268008	0.622483389718192
md_size	0.622483389718192	0.9280557632446289	0.09106881277901785	0.459873046875	0.2755562918526786	0.1392369424143145	0.25604396913109756	1.0	0.021274566650390625	0.9157606555569556	0.25604396913109756	0.5885995718149039
mse_density	0.019709995814732144	0.005467006138392857	0.0005035400390625	0.0005035400390625	0.0633685772235577	0.0005035400390625	0.05647705078125	0.021274566650390625	1.0	0.03600311279296875	0.15262858072916669	0.03600311279296875
mse_fixed	0.452886053856383	0.979949951171875	0.021837736430921052	0.6788761533539871	0.9157606555569556	0.19743934044471154	0.317138671875	0.9157606555569556	0.03600311279296875	1.0	0.0974853515625	0.622483389718192
mse_random	0.019709995814732144	0.02886962890625	0.005467006138392857	0.021837736430921052	0.4025187174479167	0.0008056640625	0.7894483663268008	0.25604396913109756	0.15262858072916669	0.0974853515625	1.0	0.5224968405330882
mse_size	0.15262858072916669	0.6169410561615566	0.00830841064453125	0.19743934044471154	0.979949951171875	0.009623209635416668	0.622483389718192	0.5885995718149039	0.03600311279296875	0.622483389718192	0.5224968405330882	1.0
