	ad_density	ad_fixed	ad_random	ad_size	md_density	md_fixed	md_random	md_size	mse_density	mse_fixed	mse_random	mse_size
ad_density	1.0	0.0920433188384434	0.0920433188384434	0.14259507921006945	0.0002627165421195652	0.005403844321646341	0.00014386858258928572	0.00014386858258928572	0.00019182477678571428	0.27248709542410715	0.0018990652901785716	0.00019182477678571428
ad_fixed	0.0920433188384434	1.0	0.7635648133324795	1.0	0.00019182477678571428	0.0004861765894396552	0.00014386858258928572	0.00014386858258928572	0.00014386858258928572	0.8734947791466346	0.004544771634615384	0.00014386858258928572
ad_random	0.0920433188384434	0.7635648133324795	1.0	0.5187657243114406	0.00014386858258928572	0.0003873384915865385	0.00014386858258928572	0.00014386858258928572	0.00019182477678571428	0.31229900491648704	0.002405802408854167	0.0003873384915865385
ad_size	0.14259507921006945	1.0	0.5187657243114406	1.0	0.00019182477678571428	0.0012344852570564514	0.00014386858258928572	0.00014386858258928572	0.0003873384915865385	0.8734947791466346	0.0018990652901785716	0.0004861765894396552
md_density	0.0002627165421195652	0.00019182477678571428	0.00014386858258928572	0.00019182477678571428	1.0	0.0029940218538851353	0.29205322265625	0.07613525390625	0.022737630208333335	0.00014386858258928572	0.0018990652901785716	0.009429931640625
md_fixed	0.005403844321646341	0.0004861765894396552	0.0003873384915865385	0.0012344852570564514	0.0029940218538851353	1.0	0.00093994140625	0.008104596819196428	0.61807861328125	0.0002627165421195652	0.7915324549521169	0.0920433188384434
md_random	0.00014386858258928572	0.00014386858258928572	0.00014386858258928572	0.00014386858258928572	0.29205322265625	0.00093994140625	1.0	0.859982445126488	0.005403844321646341	0.00014386858258928572	0.0004861765894396552	0.05968490911989796
md_size	0.00014386858258928572	0.00014386858258928572	0.00014386858258928572	0.00014386858258928572	0.07613525390625	0.008104596819196428	0.859982445126488	1.0	0.030694049337635868	0.00019182477678571428	0.0037102950246710523	0.05312347412109375
mse_density	0.00019182477678571428	0.00014386858258928572	0.00019182477678571428	0.0003873384915865385	0.022737630208333335	0.61807861328125	0.005403844321646341	0.030694049337635868	1.0	0.00019182477678571428	0.04709706407912234	0.23137207031249998
mse_fixed	0.27248709542410715	0.8734947791466346	0.31229900491648704	0.8734947791466346	0.00014386858258928572	0.0002627165421195652	0.00014386858258928572	0.00019182477678571428	0.00019182477678571428	1.0	0.0015735626220703125	0.00014386858258928572
mse_random	0.0018990652901785716	0.004544771634615384	0.002405802408854167	0.0018990652901785716	0.0018990652901785716	0.7915324549521169	0.0004861765894396552	0.0037102950246710523	0.04709706407912234	0.0015735626220703125	1.0	0.009429931640625
mse_size	0.00019182477678571428	0.00014386858258928572	0.0003873384915865385	0.0004861765894396552	0.009429931640625	0.0920433188384434	0.05968490911989796	0.05312347412109375	0.23137207031249998	0.00014386858258928572	0.009429931640625	1.0
