	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.12952302631578946	0.615234375	0.16971982758620688	0.16971982758620688	0.5458470394736842	0.03196022727272727	0.03196022727272727	0.16971982758620688	0.7952008928571428
bxt_gmo__nrlmf	0.12952302631578946	1.0	0.15980113636363638	0.12952302631578946	0.21547379032258066	0.16971982758620688	0.03196022727272727	0.05022321428571429	0.2511160714285714	0.16971982758620688
bxt_gmosa	0.615234375	0.15980113636363638	1.0	0.16971982758620688	0.8829941860465116	1.0	0.05022321428571429	0.16971982758620688	0.21547379032258066	0.615234375
bxt_gmosa__nrlmf	0.16971982758620688	0.12952302631578946	0.16971982758620688	1.0	0.12952302631578946	0.12952302631578946	0.03196022727272727	0.4655827702702703	0.15980113636363638	0.15980113636363638
bxt_gso	0.16971982758620688	0.21547379032258066	0.8829941860465116	0.12952302631578946	1.0	0.703125	0.03196022727272727	0.03196022727272727	0.2511160714285714	0.2910054149181658
bxt_gso__nrlmf	0.5458470394736842	0.16971982758620688	1.0	0.12952302631578946	0.703125	1.0	0.03196022727272727	0.03196022727272727	0.2511160714285714	0.966796875
bxt_lmo	0.03196022727272727	0.03196022727272727	0.05022321428571429	0.03196022727272727	0.03196022727272727	0.03196022727272727	1.0	0.03196022727272727	0.05022321428571429	0.03196022727272727
bxt_lmo__nrlmf	0.03196022727272727	0.05022321428571429	0.16971982758620688	0.4655827702702703	0.03196022727272727	0.03196022727272727	0.03196022727272727	1.0	0.0703125	0.03196022727272727
bxt_lso	0.16971982758620688	0.2511160714285714	0.21547379032258066	0.15980113636363638	0.2511160714285714	0.2511160714285714	0.05022321428571429	0.0703125	1.0	0.2511160714285714
bxt_lso__nrlmf	0.7952008928571428	0.16971982758620688	0.615234375	0.15980113636363638	0.2910054149181658	0.966796875	0.03196022727272727	0.03196022727272727	0.2511160714285714	1.0
