	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.640625	0.013020833333333334	0.03515625	0.013020833333333334	0.048828125	0.013020833333333334	0.013020833333333334	0.013020833333333334	0.048828125
bxt_gmo__nrlmf	0.640625	1.0	0.013020833333333334	0.048828125	0.013020833333333334	0.087890625	0.013020833333333334	0.03515625	0.013020833333333334	0.048828125
bxt_gmosa	0.013020833333333334	0.013020833333333334	1.0	0.013020833333333334	0.087890625	0.013020833333333334	0.048828125	0.013020833333333334	0.013020833333333334	0.013020833333333334
bxt_gmosa__nrlmf	0.03515625	0.048828125	0.013020833333333334	1.0	0.013020833333333334	0.2143673780487805	0.013020833333333334	0.3915127840909091	0.013020833333333334	0.3270348837209302
bxt_gso	0.013020833333333334	0.013020833333333334	0.087890625	0.013020833333333334	1.0	0.013020833333333334	0.013020833333333334	0.013020833333333334	0.013020833333333334	0.025111607142857144
bxt_gso__nrlmf	0.048828125	0.087890625	0.013020833333333334	0.2143673780487805	0.013020833333333334	1.0	0.013020833333333334	0.087890625	0.013020833333333334	0.048828125
bxt_lmo	0.013020833333333334	0.013020833333333334	0.048828125	0.013020833333333334	0.013020833333333334	0.013020833333333334	1.0	0.013020833333333334	0.06651182432432433	0.013020833333333334
bxt_lmo__nrlmf	0.013020833333333334	0.03515625	0.013020833333333334	0.3915127840909091	0.013020833333333334	0.087890625	0.013020833333333334	1.0	0.013020833333333334	0.26785714285714285
bxt_lso	0.013020833333333334	0.013020833333333334	0.013020833333333334	0.013020833333333334	0.013020833333333334	0.013020833333333334	0.06651182432432433	0.013020833333333334	1.0	0.013020833333333334
bxt_lso__nrlmf	0.048828125	0.048828125	0.013020833333333334	0.3270348837209302	0.025111607142857144	0.048828125	0.013020833333333334	0.26785714285714285	0.013020833333333334	1.0
