	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.016741071428571428	0.0087890625	0.0087890625
bxt_gmo__nrlmf	0.0087890625	1.0	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.016741071428571428	0.0087890625	0.0087890625
bxt_gmosa	0.0087890625	0.0087890625	1.0	0.0087890625	0.888365699321041	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625
bxt_gmosa__nrlmf	0.0087890625	0.0087890625	0.0087890625	1.0	0.0087890625	0.6551846590909091	0.0087890625	0.0087890625	0.0087890625	0.0087890625
bxt_gso	0.0087890625	0.0087890625	0.888365699321041	0.0087890625	1.0	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625
bxt_gso__nrlmf	0.0087890625	0.0087890625	0.0087890625	0.6551846590909091	0.0087890625	1.0	0.0087890625	0.0087890625	0.0087890625	0.0087890625
bxt_lmo	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	1.0	0.017951443639744817	0.0087890625	0.0087890625
bxt_lmo__nrlmf	0.016741071428571428	0.016741071428571428	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.017951443639744817	1.0	0.0087890625	0.0087890625
bxt_lso	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	1.0	0.0087890625
bxt_lso__nrlmf	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	0.0087890625	1.0
