	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	0.9510661280432412	1.0	4.936667049632353e-05	0.9510661280432412	4.936667049632353e-05	0.9510661280432412
bxt_gmo__nrlmf	4.936667049632353e-05	1.0	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05
bxt_gmosa	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05
bxt_gmosa__nrlmf	1.0	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	0.9192543029785156	1.0	4.936667049632353e-05	0.9192543029785156	4.936667049632353e-05	0.9192543029785156
bxt_gso	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05
bxt_gso_1k__nrlmf	0.9510661280432412	4.936667049632353e-05	4.936667049632353e-05	0.9192543029785156	4.936667049632353e-05	1.0	0.08573789854307433	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0
bxt_gso__nrlmf	1.0	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	0.08573789854307433	1.0	4.936667049632353e-05	0.08573789854307433	4.936667049632353e-05	0.08573789854307433
bxt_lmo	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05
bxt_lmo__nrlmf	0.9510661280432412	4.936667049632353e-05	4.936667049632353e-05	0.9192543029785156	4.936667049632353e-05	1.0	0.08573789854307433	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0
bxt_lso	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05
bxt_lso__nrlmf	0.9510661280432412	4.936667049632353e-05	4.936667049632353e-05	0.9192543029785156	4.936667049632353e-05	1.0	0.08573789854307433	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0
