	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	3.814697265625e-05	3.814697265625e-05	0.04874267578125	3.814697265625e-05	0.2902779212364784	0.680929113317419	3.814697265625e-05	0.0002499844165558511	3.814697265625e-05	3.814697265625e-05
bxt_gmo__nrlmf	3.814697265625e-05	1.0	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05
bxt_gmosa	3.814697265625e-05	3.814697265625e-05	1.0	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	0.860260009765625	3.814697265625e-05
bxt_gmosa__nrlmf	0.04874267578125	3.814697265625e-05	3.814697265625e-05	1.0	3.814697265625e-05	0.005788997727997449	7.459852430555555e-05	3.814697265625e-05	0.00010946522588315219	3.814697265625e-05	0.680929113317419
bxt_gso	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	1.0	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05
bxt_gso_1k__nrlmf	0.2902779212364784	3.814697265625e-05	3.814697265625e-05	0.005788997727997449	3.814697265625e-05	1.0	0.20793241613051472	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05
bxt_gso__nrlmf	0.680929113317419	3.814697265625e-05	3.814697265625e-05	7.459852430555555e-05	3.814697265625e-05	0.20793241613051472	1.0	3.814697265625e-05	0.0019232432047526042	3.814697265625e-05	3.814697265625e-05
bxt_lmo	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	1.0	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05
bxt_lmo__nrlmf	0.0002499844165558511	3.814697265625e-05	3.814697265625e-05	0.00010946522588315219	3.814697265625e-05	3.814697265625e-05	0.0019232432047526042	3.814697265625e-05	1.0	3.814697265625e-05	3.814697265625e-05
bxt_lso	3.814697265625e-05	3.814697265625e-05	0.860260009765625	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	1.0	3.814697265625e-05
bxt_lso__nrlmf	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	0.680929113317419	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	3.814697265625e-05	1.0
