	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	3.9963495163690477e-05	3.9963495163690477e-05	0.027459716796875002	3.9963495163690477e-05	0.42704068697415865	0.743560791015625	3.9963495163690477e-05	0.00035712059507978725	3.9963495163690477e-05	0.0014729402503188777
bxt_gmo__nrlmf	3.9963495163690477e-05	1.0	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05
bxt_gmosa	3.9963495163690477e-05	3.9963495163690477e-05	1.0	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	0.5045968514901621	3.9963495163690477e-05
bxt_gmosa__nrlmf	0.027459716796875002	3.9963495163690477e-05	3.9963495163690477e-05	1.0	3.9963495163690477e-05	0.0008742014567057292	0.00025541886039402175	3.9963495163690477e-05	0.00011189778645833333	3.9963495163690477e-05	0.4495440788988797
bxt_gso	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	1.0	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05
bxt_gso_1k__nrlmf	0.42704068697415865	3.9963495163690477e-05	3.9963495163690477e-05	0.0008742014567057292	3.9963495163690477e-05	1.0	0.18910725911458334	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05
bxt_gso__nrlmf	0.743560791015625	3.9963495163690477e-05	3.9963495163690477e-05	0.00025541886039402175	3.9963495163690477e-05	0.18910725911458334	1.0	3.9963495163690477e-05	7.62939453125e-05	3.9963495163690477e-05	7.62939453125e-05
bxt_lmo	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	1.0	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05
bxt_lmo__nrlmf	0.00035712059507978725	3.9963495163690477e-05	3.9963495163690477e-05	0.00011189778645833333	3.9963495163690477e-05	3.9963495163690477e-05	7.62939453125e-05	3.9963495163690477e-05	1.0	3.9963495163690477e-05	3.9963495163690477e-05
bxt_lso	3.9963495163690477e-05	3.9963495163690477e-05	0.5045968514901621	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	1.0	3.9963495163690477e-05
bxt_lso__nrlmf	0.0014729402503188777	3.9963495163690477e-05	3.9963495163690477e-05	0.4495440788988797	3.9963495163690477e-05	3.9963495163690477e-05	7.62939453125e-05	3.9963495163690477e-05	3.9963495163690477e-05	3.9963495163690477e-05	1.0
