	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.0025177001953125	0.0012367650082236842	0.03584725516183036	0.0005594889322916667	0.20828973679315474	0.22429000499636625	0.7573304352936922	0.43021202087402344	0.0007343292236328125	0.028802490234375002
bxt_gmo__nrlmf	0.0025177001953125	1.0	0.19298274342606705	0.09330300723805147	0.03584725516183036	0.18776743035567434	0.044289865801411296	0.0012367650082236842	0.09330300723805147	0.028802490234375002	0.5342790192248774
bxt_gmosa	0.0012367650082236842	0.19298274342606705	1.0	0.001518612816220238	0.026271654211956524	0.000209808349609375	0.00041961669921875	0.0005594889322916667	0.001518612816220238	0.18776743035567434	0.03279465895432692
bxt_gmosa__nrlmf	0.03584725516183036	0.09330300723805147	0.001518612816220238	1.0	0.000335693359375	0.4862415547273597	0.23565673828124997	0.11614990234375	0.23565673828124997	0.000335693359375	0.7323498995798938
bxt_gso	0.0005594889322916667	0.03584725516183036	0.026271654211956524	0.000335693359375	1.0	0.000209808349609375	0.000209808349609375	0.000209808349609375	0.000209808349609375	0.5943063589242789	0.0012367650082236842
bxt_gso_1k__nrlmf	0.20828973679315474	0.18776743035567434	0.000209808349609375	0.4862415547273597	0.000209808349609375	1.0	0.5342790192248774	0.1782438490125868	0.276436183763587	0.0005594889322916667	0.19298274342606705
bxt_gso__nrlmf	0.22429000499636625	0.044289865801411296	0.00041961669921875	0.23565673828124997	0.000209808349609375	0.5342790192248774	1.0	0.4076888713430851	0.820892333984375	0.000209808349609375	0.044289865801411296
bxt_lmo	0.7573304352936922	0.0012367650082236842	0.0005594889322916667	0.11614990234375	0.000209808349609375	0.1782438490125868	0.4076888713430851	1.0	0.19298274342606705	0.000209808349609375	0.044289865801411296
bxt_lmo__nrlmf	0.43021202087402344	0.09330300723805147	0.001518612816220238	0.23565673828124997	0.000209808349609375	0.276436183763587	0.820892333984375	0.19298274342606705	1.0	0.000209808349609375	0.07616043090820312
bxt_lso	0.0007343292236328125	0.028802490234375002	0.18776743035567434	0.000335693359375	0.5943063589242789	0.0005594889322916667	0.000209808349609375	0.000209808349609375	0.000209808349609375	1.0	0.00041961669921875
bxt_lso__nrlmf	0.028802490234375002	0.5342790192248774	0.03279465895432692	0.7323498995798938	0.0012367650082236842	0.19298274342606705	0.044289865801411296	0.044289865801411296	0.07616043090820312	0.00041961669921875	1.0
