	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.43541403377757354	5.41440902217742e-05	0.43541403377757354	5.41440902217742e-05	0.002495018211570946	0.2527916949728261	5.41440902217742e-05	0.860260009765625	5.41440902217742e-05	0.004858719675164474
bxt_gmo__nrlmf	0.43541403377757354	1.0	5.41440902217742e-05	0.08365010106286337	5.41440902217742e-05	0.0009111676897321429	0.051827779630335365	5.41440902217742e-05	0.8114595233269458	5.41440902217742e-05	0.005896152594150641
bxt_gmosa	5.41440902217742e-05	5.41440902217742e-05	1.0	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	0.00024683335248161764	5.41440902217742e-05
bxt_gmosa__nrlmf	0.43541403377757354	0.08365010106286337	5.41440902217742e-05	1.0	5.41440902217742e-05	0.12782457139756945	0.2951601718334442	5.41440902217742e-05	0.12782457139756945	5.41440902217742e-05	0.075531005859375
bxt_gso	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	1.0	5.41440902217742e-05	5.41440902217742e-05	0.7864585289588342	0.00010172526041666667	5.41440902217742e-05	5.41440902217742e-05
bxt_gso_1k__nrlmf	0.002495018211570946	0.0009111676897321429	5.41440902217742e-05	0.12782457139756945	5.41440902217742e-05	1.0	0.43541403377757354	5.41440902217742e-05	0.002495018211570946	5.41440902217742e-05	0.8360940438729746
bxt_gso__nrlmf	0.2527916949728261	0.051827779630335365	5.41440902217742e-05	0.2951601718334442	5.41440902217742e-05	0.43541403377757354	1.0	5.41440902217742e-05	0.018001556396484375	5.41440902217742e-05	0.43021202087402344
bxt_lmo	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	0.7864585289588342	5.41440902217742e-05	5.41440902217742e-05	1.0	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05
bxt_lmo__nrlmf	0.860260009765625	0.8114595233269458	5.41440902217742e-05	0.12782457139756945	0.00010172526041666667	0.002495018211570946	0.018001556396484375	5.41440902217742e-05	1.0	5.41440902217742e-05	0.00010172526041666667
bxt_lso	5.41440902217742e-05	5.41440902217742e-05	0.00024683335248161764	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	5.41440902217742e-05	1.0	5.41440902217742e-05
bxt_lso__nrlmf	0.004858719675164474	0.005896152594150641	5.41440902217742e-05	0.075531005859375	5.41440902217742e-05	0.8360940438729746	0.43021202087402344	5.41440902217742e-05	0.00010172526041666667	5.41440902217742e-05	1.0
