	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	4.662407769097222e-05	4.662407769097222e-05	0.743560791015625	4.662407769097222e-05	0.3991953531901042	0.5830930313974056	4.662407769097222e-05	0.013427734375	4.662407769097222e-05	0.5342790192248774
bxt_gmo__nrlmf	4.662407769097222e-05	1.0	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05
bxt_gmosa	4.662407769097222e-05	4.662407769097222e-05	1.0	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	0.0017603432259908536	4.662407769097222e-05	0.444122314453125	4.662407769097222e-05
bxt_gmosa__nrlmf	0.743560791015625	4.662407769097222e-05	4.662407769097222e-05	1.0	4.662407769097222e-05	0.3774050448803192	0.4214321837133291	4.662407769097222e-05	0.00644683837890625	4.662407769097222e-05	0.5586389394906851
bxt_gso	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	1.0	4.662407769097222e-05	4.662407769097222e-05	0.3281402587890625	4.662407769097222e-05	0.00022085089432565788	4.662407769097222e-05
bxt_gso_1k__nrlmf	0.3991953531901042	4.662407769097222e-05	4.662407769097222e-05	0.3774050448803192	4.662407769097222e-05	1.0	0.6076360631872106	4.662407769097222e-05	0.00013609190244932433	4.662407769097222e-05	0.00041961669921875
bxt_gso__nrlmf	0.5830930313974056	4.662407769097222e-05	4.662407769097222e-05	0.4214321837133291	4.662407769097222e-05	0.6076360631872106	1.0	4.662407769097222e-05	0.005347673283066861	4.662407769097222e-05	0.00030126327123397437
bxt_lmo	4.662407769097222e-05	4.662407769097222e-05	0.0017603432259908536	4.662407769097222e-05	0.3281402587890625	4.662407769097222e-05	4.662407769097222e-05	1.0	4.662407769097222e-05	0.004395984468005952	4.662407769097222e-05
bxt_lmo__nrlmf	0.013427734375	4.662407769097222e-05	4.662407769097222e-05	0.00644683837890625	4.662407769097222e-05	0.00013609190244932433	0.005347673283066861	4.662407769097222e-05	1.0	4.662407769097222e-05	4.662407769097222e-05
bxt_lso	4.662407769097222e-05	4.662407769097222e-05	0.444122314453125	4.662407769097222e-05	0.00022085089432565788	4.662407769097222e-05	4.662407769097222e-05	0.004395984468005952	4.662407769097222e-05	1.0	4.662407769097222e-05
bxt_lso__nrlmf	0.5342790192248774	4.662407769097222e-05	4.662407769097222e-05	0.5586389394906851	4.662407769097222e-05	0.00041961669921875	0.00030126327123397437	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	1.0
