	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.05257084684551887	4.662407769097222e-05	0.0002797444661458333	4.662407769097222e-05	4.662407769097222e-05	9.072793496621621e-05	0.322509765625	4.662407769097222e-05	4.662407769097222e-05	0.0024998441655585107
bxt_gmo__nrlmf	0.05257084684551887	1.0	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	0.030664297250600964	4.662407769097222e-05	4.662407769097222e-05	0.0002797444661458333
bxt_gmosa	4.662407769097222e-05	4.662407769097222e-05	1.0	4.662407769097222e-05	0.0007416481195494186	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05
bxt_gmosa__nrlmf	0.0002797444661458333	4.662407769097222e-05	4.662407769097222e-05	1.0	4.662407769097222e-05	0.023070690678615197	0.11882923267505788	0.00013251053659539474	0.00164031982421875	4.662407769097222e-05	0.006915283203125
bxt_gso	4.662407769097222e-05	4.662407769097222e-05	0.0007416481195494186	4.662407769097222e-05	1.0	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05
bxt_gso_1k__nrlmf	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	0.023070690678615197	4.662407769097222e-05	1.0	0.005788997727997449	4.662407769097222e-05	0.005788997727997449	4.662407769097222e-05	4.662407769097222e-05
bxt_gso__nrlmf	9.072793496621621e-05	4.662407769097222e-05	4.662407769097222e-05	0.11882923267505788	4.662407769097222e-05	0.005788997727997449	1.0	4.662407769097222e-05	0.000209808349609375	4.662407769097222e-05	0.0024998441655585107
bxt_lmo	0.322509765625	0.030664297250600964	4.662407769097222e-05	0.00013251053659539474	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	1.0	4.662407769097222e-05	4.662407769097222e-05	0.0024998441655585107
bxt_lmo__nrlmf	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	0.00164031982421875	4.662407769097222e-05	0.005788997727997449	0.000209808349609375	4.662407769097222e-05	1.0	4.662407769097222e-05	0.000209808349609375
bxt_lso	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	4.662407769097222e-05	1.0	4.662407769097222e-05
bxt_lso__nrlmf	0.0024998441655585107	0.0002797444661458333	4.662407769097222e-05	0.006915283203125	4.662407769097222e-05	4.662407769097222e-05	0.0024998441655585107	0.0024998441655585107	0.000209808349609375	4.662407769097222e-05	1.0
