	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.00011989048549107144	0.00469970703125	0.35939171200706843	0.017421327788254313	0.38097292877906974	0.979949951171875	0.00011989048549107144	0.35939171200706843	0.00046624077690972225	0.979949951171875
bxt_gmo__nrlmf	0.00011989048549107144	1.0	0.00011989048549107144	0.00011989048549107144	0.00011989048549107144	0.000209808349609375	0.00011989048549107144	0.00011989048549107144	0.00011989048549107144	0.00011989048549107144	0.00011989048549107144
bxt_gmosa	0.00469970703125	0.00011989048549107144	1.0	0.0002962000229779412	0.08194867302389706	0.010130746023995536	0.00469970703125	0.051436885710685484	0.2430046929253472	0.5179529604704484	0.00469970703125
bxt_gmosa__nrlmf	0.35939171200706843	0.00011989048549107144	0.0002962000229779412	1.0	0.0008392333984375	0.9029815673828125	0.979949951171875	0.00011989048549107144	0.35939171200706843	0.000209808349609375	0.6575304396609043
bxt_gso	0.017421327788254313	0.00011989048549107144	0.08194867302389706	0.0008392333984375	1.0	0.13082449776785715	0.06640434265136719	0.00469970703125	0.5179529604704484	0.909890394944411	0.0738525390625
bxt_gso_1k__nrlmf	0.38097292877906974	0.000209808349609375	0.010130746023995536	0.9029815673828125	0.13082449776785715	1.0	0.8519967397054037	0.00011989048549107144	0.33463327508223684	0.0201416015625	0.35939171200706843
bxt_gso__nrlmf	0.979949951171875	0.00011989048549107144	0.00469970703125	0.979949951171875	0.06640434265136719	0.8519967397054037	1.0	0.00011989048549107144	0.9029815673828125	0.008516664858217593	0.909890394944411
bxt_lmo	0.00011989048549107144	0.00011989048549107144	0.051436885710685484	0.00011989048549107144	0.00469970703125	0.00011989048549107144	0.00011989048549107144	1.0	0.007101205679086539	0.0008392333984375	0.00011989048549107144
bxt_lmo__nrlmf	0.35939171200706843	0.00011989048549107144	0.2430046929253472	0.35939171200706843	0.5179529604704484	0.33463327508223684	0.9029815673828125	0.007101205679086539	1.0	0.40313720703125	0.31428156672297297
bxt_lso	0.00046624077690972225	0.00011989048549107144	0.5179529604704484	0.000209808349609375	0.909890394944411	0.0201416015625	0.008516664858217593	0.0008392333984375	0.40313720703125	1.0	0.001518612816220238
bxt_lso__nrlmf	0.979949951171875	0.00011989048549107144	0.00469970703125	0.6575304396609043	0.0738525390625	0.35939171200706843	0.909890394944411	0.00011989048549107144	0.31428156672297297	0.001518612816220238	1.0
