	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	6.993611653645834e-05	0.005561978209252451	3.648840862771739e-05	6.993611653645834e-05	3.648840862771739e-05	3.648840862771739e-05
bxt_gmo__nrlmf	3.648840862771739e-05	1.0	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05
bxt_gmosa	3.648840862771739e-05	3.648840862771739e-05	1.0	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	0.006649310772235577	3.648840862771739e-05
bxt_gmosa__nrlmf	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	1.0	3.648840862771739e-05	3.648840862771739e-05	0.00010276327327806122	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	0.6438785129123263
bxt_gso	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	1.0	3.648840862771739e-05	3.648840862771739e-05	0.781951904296875	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05
bxt_gso_1k__nrlmf	6.993611653645834e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	1.0	0.4495440788988797	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05
bxt_gso__nrlmf	0.005561978209252451	3.648840862771739e-05	3.648840862771739e-05	0.00010276327327806122	3.648840862771739e-05	0.4495440788988797	1.0	3.648840862771739e-05	0.0006378173828125001	3.648840862771739e-05	3.648840862771739e-05
bxt_lmo	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	0.781951904296875	3.648840862771739e-05	3.648840862771739e-05	1.0	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05
bxt_lmo__nrlmf	6.993611653645834e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	0.0006378173828125001	3.648840862771739e-05	1.0	3.648840862771739e-05	3.648840862771739e-05
bxt_lso	3.648840862771739e-05	3.648840862771739e-05	0.006649310772235577	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	1.0	3.648840862771739e-05
bxt_lso__nrlmf	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	0.6438785129123263	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	3.648840862771739e-05	1.0
