	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.0001049041748046875	0.0076665105046452705	0.001498631068638393	0.08365010106286337	0.0022554397583007812	0.02509307861328125	0.32763671875	0.1648394266764323	0.10406494140625	0.00036488408627717393
bxt_gmo__nrlmf	0.0001049041748046875	1.0	0.0001049041748046875	0.0001049041748046875	0.0001049041748046875	0.0001049041748046875	0.0001049041748046875	0.0001049041748046875	0.0001049041748046875	0.0001049041748046875	0.0001049041748046875
bxt_gmosa	0.0076665105046452705	0.0001049041748046875	1.0	0.0001049041748046875	0.0006993611653645834	0.0001678466796875	0.0001678466796875	0.004220145089285714	0.0001678466796875	0.009099056846217105	0.0001049041748046875
bxt_gmosa__nrlmf	0.001498631068638393	0.0001049041748046875	0.0001049041748046875	1.0	0.0009037898137019231	0.15181196496841756	0.04391988118489583	0.003455666934742647	0.0009037898137019231	0.0001049041748046875	0.19682592275191327
bxt_gso	0.08365010106286337	0.0001049041748046875	0.0006993611653645834	0.0009037898137019231	1.0	0.0022554397583007812	0.006387498643663194	0.8761907506872106	0.6310066810021033	0.5001172832414216	0.0001049041748046875
bxt_gso_1k__nrlmf	0.0022554397583007812	0.0001049041748046875	0.0001678466796875	0.15181196496841756	0.0022554397583007812	1.0	0.15181196496841756	0.02186310596955128	0.0022554397583007812	0.0001678466796875	0.0011811433015046296
bxt_gso__nrlmf	0.02509307861328125	0.0001049041748046875	0.0001678466796875	0.04391988118489583	0.006387498643663194	0.15181196496841756	1.0	0.0022554397583007812	0.038891303830030484	0.0027974446614583335	0.00036488408627717393
bxt_lmo	0.32763671875	0.0001049041748046875	0.004220145089285714	0.003455666934742647	0.8761907506872106	0.02186310596955128	0.0022554397583007812	1.0	0.6937768324366156	0.979949951171875	0.00036488408627717393
bxt_lmo__nrlmf	0.1648394266764323	0.0001049041748046875	0.0001678466796875	0.0009037898137019231	0.6310066810021033	0.0022554397583007812	0.038891303830030484	0.6937768324366156	1.0	0.12782457139756945	0.0001049041748046875
bxt_lso	0.10406494140625	0.0001049041748046875	0.009099056846217105	0.0001049041748046875	0.5001172832414216	0.0001678466796875	0.0027974446614583335	0.979949951171875	0.12782457139756945	1.0	0.0001049041748046875
bxt_lso__nrlmf	0.00036488408627717393	0.0001049041748046875	0.0001049041748046875	0.19682592275191327	0.0001049041748046875	0.0011811433015046296	0.00036488408627717393	0.00036488408627717393	0.0001049041748046875	0.0001049041748046875	1.0
