	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	4.417017886513158e-05	4.417017886513158e-05	0.390043712797619	4.417017886513158e-05	4.417017886513158e-05	0.08773059379763719	4.417017886513158e-05	0.08773059379763719	4.417017886513158e-05	0.08773059379763719
bxt_gmo__nrlmf	4.417017886513158e-05	1.0	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05
bxt_gmosa	4.417017886513158e-05	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05
bxt_gmosa__nrlmf	0.390043712797619	4.417017886513158e-05	4.417017886513158e-05	1.0	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05
bxt_gso	4.417017886513158e-05	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05
bxt_gso_1k	4.417017886513158e-05	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05
bxt_gso__nrlmf	0.08773059379763719	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0
bxt_lmo	4.417017886513158e-05	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05
bxt_lmo__nrlmf	0.08773059379763719	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0
bxt_lso	4.417017886513158e-05	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05
bxt_lso__nrlmf	0.08773059379763719	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0	4.417017886513158e-05	1.0
