	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	0.1346722771139706	0.004395984468005952	0.00018649631076388888	0.45889282226562494	0.00018649631076388888	0.04831949869791667	0.8518694031913325	0.012348720005580358	0.03795500724546371	0.00018649631076388888
bxt_gmo__nrlmf	0.1346722771139706	1.0	0.010505958839699073	0.000762939453125	0.21384574271537163	0.00018649631076388888	0.04290580749511719	0.979949951171875	0.010505958839699073	0.007692972819010417	0.00018649631076388888
bxt_gmosa	0.004395984468005952	0.010505958839699073	1.0	0.45889282226562494	0.390043712797619	0.006421959918478261	0.8518694031913325	0.0012911283052884615	0.009197998046875001	0.024829732960668104	0.317901611328125
bxt_gmosa__nrlmf	0.00018649631076388888	0.000762939453125	0.45889282226562494	1.0	0.29816456330128205	0.390043712797619	0.5313746134440105	0.0015665690104166667	0.0037986353824013158	0.0005035400390625	0.7354034423828125
bxt_gso	0.45889282226562494	0.21384574271537163	0.390043712797619	0.29816456330128205	1.0	0.00018649631076388888	0.1468418666294643	0.0019931793212890625	0.8518694031913325	0.9572855631510416	0.44561341751453487
bxt_gso_1k	0.00018649631076388888	0.00018649631076388888	0.006421959918478261	0.390043712797619	0.00018649631076388888	1.0	0.006421959918478261	0.00018649631076388888	0.0037986353824013158	0.0012911283052884615	0.47247054729055854
bxt_gso__nrlmf	0.04831949869791667	0.04290580749511719	0.8518694031913325	0.5313746134440105	0.1468418666294643	0.006421959918478261	1.0	0.00018649631076388888	0.47247054729055854	0.1782438490125868	0.7095804019850128
bxt_lmo	0.8518694031913325	0.979949951171875	0.0012911283052884615	0.0015665690104166667	0.0019931793212890625	0.00018649631076388888	0.00018649631076388888	1.0	0.004395984468005952	0.028422037760416668	0.0015665690104166667
bxt_lmo__nrlmf	0.012348720005580358	0.010505958839699073	0.009197998046875001	0.0037986353824013158	0.8518694031913325	0.0037986353824013158	0.47247054729055854	0.004395984468005952	1.0	0.29816456330128205	0.0024683335248161767
bxt_lso	0.03795500724546371	0.007692972819010417	0.024829732960668104	0.0005035400390625	0.9572855631510416	0.0012911283052884615	0.1782438490125868	0.028422037760416668	0.29816456330128205	1.0	0.00018649631076388888
bxt_lso__nrlmf	0.00018649631076388888	0.00018649631076388888	0.317901611328125	0.7354034423828125	0.44561341751453487	0.47247054729055854	0.7095804019850128	0.0015665690104166667	0.0024683335248161767	0.00018649631076388888	1.0
